Date,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
2002-03-01 00:00:00,0.3,0.7,0.5,0.6,0.7,0.6,-0.3,0.8
2002-06-01 00:00:00,1,0.6,0.8,1,0.5,0.4,0.5,1.3
2002-09-01 00:00:00,0.1,0.4,1,0.6,0,1.2,0.5,0.7
2002-12-01 00:00:00,0,0.4,0.6,1.2,0.5,0.7,0.2,1.3
2003-03-01 00:00:00,0,0.3,1,0.4,0.3,0.9,-0.2,1.4
2003-06-01 00:00:00,0.3,0.5,1,1.6,0.5,0.3,0.5,1.4
2003-09-01 00:00:00,0.9,0.1,0.8,0.3,0.3,1.3,0.2,1.2
2003-12-01 00:00:00,0.3,0.7,1.6,0.8,1,1.4,0.8,2
2004-03-01 00:00:00,0.6,0.3,0.9,0.8,0.3,1,0.5,2.3
2004-06-01 00:00:00,0.4,0.5,1.2,1,1,1.3,0.5,1.6
2004-09-01 00:00:00,0.1,0.5,0.9,0.8,0.8,0.7,0.5,0.7
2004-12-01 00:00:00,0.3,0.3,1,0.5,0.3,0.8,0.5,0.6
2005-03-01 00:00:00,0.3,0.3,1,0.7,0.6,0.9,1.6,0.7
2005-06-01 00:00:00,0.7,0.4,1.2,0.8,0.5,0.7,0.5,1
2005-09-01 00:00:00,0.4,0.1,1.6,0.8,0.6,1.1,0.8,0.1
2005-12-01 00:00:00,0.4,0.3,1.6,0.8,1.1,1.1,1.1,0.7
2006-03-01 00:00:00,0.7,0.4,1.4,0.6,1.2,1.7,1.4,0.6
2006-06-01 00:00:00,0.4,0.7,1.5,1.3,1.7,1.3,1.1,1.5
2006-09-01 00:00:00,0.8,0.9,1.1,0.6,2.1,1.1,2.7,0.4
2006-12-01 00:00:00,0.8,0.8,1.2,1,1.7,0.5,1.5,1.1
2007-03-01 00:00:00,1.2,1.1,1.9,0.9,2.6,2.2,1.4,1.8
2007-06-01 00:00:00,1.3,1.3,2.2,1.4,2.9,1.5,2.3,2
2007-09-01 00:00:00,1.4,1.4,2.4,0.6,2,1.2,1.2,1.2
2007-12-01 00:00:00,1.3,1.5,1.8,1.7,3.2,0.4,2.2,1.8
2008-03-01 00:00:00,1.8,1.5,2.5,1.3,3.3,1.8,2.5,2.4
2008-06-01 00:00:00,2.4,1.7,2.4,1.2,3.4,1,2.5,1.8
2008-09-01 00:00:00,1.7,1.6,2.9,1.3,3.3,0.8,3.1,1.6
2008-12-01 00:00:00,1.9,1.6,1.9,1.6,1.8,1.3,3.3,2.5
2009-03-01 00:00:00,1.7,1.5,1.7,1.4,2.2,1.6,4,1.6
2009-06-01 00:00:00,1.5,1.2,1.3,1.1,1.8,1.6,2.2,0.8
2009-09-01 00:00:00,1.5,0.9,1,0.8,1,0.7,2.5,0.8
2009-12-01 00:00:00,0.9,1.2,0.9,0.7,0.9,0.8,1.7,0.9
2010-03-01 00:00:00,1.1,1,0.7,1.1,0.8,0.9,2.8,1.5
