Date,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
1/03/2004,380.0,272.5,249.0,193.5,208.0,192.0,147.1,295.0
1/06/2004,380.0,280.0,249.0,200.0,215.0,192.8,152.0,300.0
1/09/2004,380.0,276.0,264.0,220.0,215.0,195.0,156.5,280.0
1/12/2004,390.0,281.0,267.0,220.0,229.0,200.0,171.0,289.0
1/03/2005,385.0,285.0,257.0,212.0,235.0,220.0,175.0,304.5
1/06/2005,387.0,287.0,265.0,216.5,247.5,233.5,207.0,307.8
1/09/2005,380.0,286.0,271.7,225.3,255.0,200.0,195.0,305.0
1/12/2005,383.0,290.0,280.0,228.8,276.0,215.0,225.0,308.0
1/03/2006,375.0,299.5,280.0,225.0,292.0,225.0,235.0,310.0
1/06/2006,390.0,306.6,295.0,235.0,332.5,229.0,245.0,325.0
1/09/2006,380.0,315.0,292.0,240.0,350.0,230.0,246.5,312.0
1/12/2006,393.1,315.0,298.0,246.0,362.5,231.0,260.0,317.5
1/03/2007,380.0,320.0,305.0,245.0,370.0,240.0,280.0,325.0
1/06/2007,395.0,340.0,325.0,265.0,370.0,240.0,302.5,355.0
1/09/2007,400.0,345.0,340.0,285.0,376.0,250.0,310.0,365.0
1/12/2007,410.0,365.0,357.0,290.0,385.0,260.0,307.5,365.0
1/03/2008,397.5,360.0,360.0,295.0,380.0,245.0,306.3,370.0
1/06/2008,395.0,360.0,367.0,290.0,372.3,257.0,310.0,352.0
1/09/2008,385.0,365.0,350.0,315.1,360.0,240.0,348.0,365.0
1/12/2008,373.0,350.0,350.0,300.8,350.0,245.0,329.0,360.5
1/03/2009,380.0,348.0,349.8,300.0,350.0,255.0,370.0,372.5
1/06/2009,398.0,379.5,365.0,310.0,380.0,260.0,360.0,375.0
1/09/2009,423.0,392.0,370.0,310.0,390.0,270.0,377.0,378.0
1/12/2009,450.0,421.0,381.0,326.8,415.0,285.0,400.0,402.5
1/03/2010,450.0,424.0,385.0,333.0,420.0,278.5,430.2,410.0
1/06/2010,480.0,450.0,392.5,337.5,417.0,280.0,430.0,413.5
1/09/2010,477.0,445.0,383.8,330.5,410.0,287.5,400.0,425.0
1/12/2010,487.6,460.0,385.0,335.0,410.0,288.0,420.5,424.9
1/03/2011,479.0,445.0,379.0,339.0,405.0,291.5,415.0,415.0
1/06/2011,485.0,450.0,382.5,328.5,405.0,294.0,415.0,415.0
1/09/2011,480.0,437.5,370.0,320.0,395.0,272.5,398.0,425.0
1/12/2011,460.0,432.5,380.0,327.3,400.0,275.0,399.5,415.0
1/03/2012,500.0,430.0,376.0,317.0,406.0,268.8,420.0,415.0
1/06/2012,510.0,430.0,381.0,315.0,400.0,275.0,435.0,416.8
1/09/2012,487.0,425.0,387.5,325.0,400.0,275.0,410.0,411.0
1/12/2012,525.0,440.0,385.0,325.0,410.0,294.0,410.5,415.5
1/03/2013,520.0,435.0,392.0,325.0,430.0,276.8,445.0,410.0
1/06/2013,530.0,442.0,395.0,330.0,426.0,285.0,450.0,412.5
1/09/2013,550.0,445.0,395.0,324.0,430.0,266.0,459.8,415.0
1/12/2013,565.0,467.0,400.0,330.0,450.0,295.0,481.0,420.5
1/03/2014,591.5,475.5,405.0,326.0,445.0,275.0,496.1,410.0
1/06/2014,610.0,479.0,414.0,345.0,452.0,282.0,465.0,410.0
1/09/2014,620.0,478.5,420.0,342.5,442.0,267.5,485.0,410.0
1/12/2014,650.0,490.0,420.0,345.0,445.0,279.5,465.0,422.0
1/03/2015,657.0,480.8,420.0,345.0,440.0,285.0,485.0,420.0
1/06/2015,705.0,515.0,425.0,345.0,434.5,286.0,450.0,425.0
1/09/2015,710.0,500.0,425.0,344.5,425.0,296.0,475.0,415.0
1/12/2015,723.0,505.0,420.0,345.0,430.0,292.0,460.0,419.9
1/03/2016,706.5,490.0,415.0,345.0,430.0,295.8,469.6,425.0
1/06/2016,720.0,505.0,413.0,367.0,410.0,307.5,437.5,435.0
1/09/2016,710.0,496.0,420.0,365.0,425.0,290.0,342.5,428.5
1/12/2016,735.0,501.9,410.0,365.0,410.0,305.0,381.1,430.0
1/03/2017,730.0,520.0,405.0,365.0,415.0,315.0,375.0,429.9
1/06/2017,770.0,568.9,392.5,383.5,405.0,300.0,375.0,445.0
1/09/2017,720.0,540.0,400.0,375.0,405.0,320.0,375.0,434.5
1/12/2017,741.0,568.0,391.0,390.0,410.0,330.0,340.0,445.5
1/03/2018,742.0,565.0,385.0,370.0,400.0,338.5,328.0,436.0
1/06/2018,730.0,600.0,385.0,380.0,408.0,356.0,338.0,431.5
1/09/2018,730.0,565.0,385.0,380.0,395.0,357.5,330.0,446.3
1/12/2018,725.0,565.0,390.0,370.5,390.0,375.0,330.0,448.0
1/03/2019,695.0,550.0,385.0,400.0,385.0,390.0,300.0,450.0
1/06/2019,700.0,555.0,386.0,390.0,375.0,385.0,308.0,450.0
1/09/2019,708.0,560.0,395.0,380.0,380.0,385.0,285.0,450.0
1/12/2019,733.9,599.3,399.0,377.5,380.0,400.0,320.0,475.0
1/03/2020,730.0,587.5,387.0,385.0,380.0,425.5,300.0,455.0
1/06/2020,730.0,585.0,385.0,410.0,350.0,387.0,271.0,465.0
1/09/2020,722.0,580.0,400.0,401.8,380.0,400.0,290.0,477.6
